language,source,target,p_lag,dmax,lead_days,ty_pvalue,pearson_r,abs_r
Arabic,6,7,1,0,1,1.3397065385660662e-08,0.4781873944235543,0.4781873944235543
Arabic,21,36,7,0,7,1.985900348544388e-08,0.6040149619157703,0.6040149619157703
Arabic,11,13,5,1,3,3.2398174184418483e-07,0.37825125135409793,0.37825125135409793
Arabic,17,21,3,0,3,6.942299661726473e-07,0.4512547301282069,0.4512547301282069
Arabic,18,24,3,1,1,7.732145787408092e-07,0.501018464289091,0.501018464289091
Arabic,4,7,3,0,3,8.762602496070158e-07,0.4685063971691079,0.4685063971691079
Arabic,49,31,2,0,2,7.167915096770797e-06,0.4563189192657438,0.4563189192657438
Arabic,9,15,4,0,4,7.679978229442798e-06,0.47011619390270554,0.47011619390270554
Arabic,11,5,4,1,3,1.5460760251770837e-05,0.5504283498210673,0.5504283498210673
Arabic,41,20,2,0,2,1.963826804029633e-05,0.4338493721910844,0.4338493721910844
Arabic,31,30,2,0,2,2.6125601413803813e-05,0.4962207517377989,0.4962207517377989
Arabic,36,23,5,1,5,3.9485194650291164e-05,0.37449619036763254,0.37449619036763254
Arabic,7,15,4,0,4,6.116227144248151e-05,0.43449421416516054,0.43449421416516054
Arabic,45,20,4,0,1,6.90837088701948e-05,0.2666971953505064,0.2666971953505064
Arabic,22,36,6,1,4,7.64895650157786e-05,0.39963667242361034,0.39963667242361034
Arabic,21,22,4,1,3,8.23842222184426e-05,0.3783186776102174,0.3783186776102174
Arabic,21,28,3,1,3,8.280502735553539e-05,0.2616717345218341,0.2616717345218341
Arabic,30,37,5,1,2,9.418070353288394e-05,0.4511847606446995,0.4511847606446995
Arabic,21,34,4,1,3,0.00010727721814701962,0.32157487080680053,0.32157487080680053
Arabic,16,21,4,0,4,0.00012053571368872636,0.32294927167790655,0.32294927167790655
Arabic,21,44,3,0,3,0.00013358176046609463,0.32060040858808453,0.32060040858808453
Arabic,31,47,2,0,2,0.00013726836060148329,0.4637124688731048,0.4637124688731048
Arabic,5,13,1,1,1,0.00014184973950436455,0.3966042194065946,0.3966042194065946
Arabic,6,15,5,0,5,0.0001496635731543098,0.4315664175399166,0.4315664175399166
Arabic,22,50,3,1,3,0.00017353309693528962,0.47791583590816356,0.47791583590816356
Arabic,16,46,4,0,4,0.0001799339370053511,0.43078032665497396,0.43078032665497396
Arabic,31,7,2,0,2,0.00022196861868382716,0.3606434413750737,0.3606434413750737
Arabic,13,17,4,0,4,0.00023832633383226017,0.32753452581394465,0.32753452581394465
Arabic,26,39,1,0,1,0.00024048001587478258,0.38196106077281095,0.38196106077281095
Arabic,34,48,4,1,3,0.00029515329906508215,0.5789275921754362,0.5789275921754362
Arabic,18,39,2,1,2,0.0003101763462876914,0.4129625065983691,0.4129625065983691
Arabic,22,4,4,1,4,0.00036261603163800424,0.21437960077778967,0.21437960077778967
Arabic,31,49,2,0,2,0.0003648101102870654,0.402105691816803,0.402105691816803
Arabic,35,39,1,0,1,0.0003728899413026722,0.36839646728544256,0.36839646728544256
Arabic,31,15,6,0,6,0.0005154738231780175,0.4296347144538104,0.4296347144538104
Arabic,31,9,2,0,1,0.0005720274953150929,0.402825809274211,0.402825809274211
Arabic,14,13,5,0,5,0.0006017887747118868,0.3478404129835496,0.3478404129835496
Arabic,36,37,4,1,4,0.0006172358980871428,0.5022386077832509,0.5022386077832509
Arabic,42,9,1,0,1,0.0006586095512875492,0.4032390184534986,0.4032390184534986
Arabic,44,39,1,0,1,0.0006718221841829394,0.361876666294526,0.361876666294526
Arabic,21,8,3,0,3,0.0007302933094648471,0.31869435401077895,0.31869435401077895
Arabic,31,6,1,0,1,0.0008079029106207217,0.35055099150522495,0.35055099150522495
Arabic,30,29,3,1,2,0.0008592649624983768,0.48441336756052833,0.48441336756052833
Arabic,27,11,1,1,1,0.0009181072791685512,0.38974807486531704,0.38974807486531704
Arabic,25,48,7,1,3,0.0009803953079309574,0.5027688882160641,0.5027688882160641
Arabic,45,38,3,1,2,0.0009933693039359949,0.40325452698733044,0.40325452698733044
Arabic,16,17,1,0,1,0.001115084828481926,0.35747379200398377,0.35747379200398377
Arabic,22,39,6,1,5,0.0011804339368364557,0.37180441234379524,0.37180441234379524
Arabic,41,45,2,0,2,0.001208005858675089,0.3525026185680523,0.3525026185680523
Arabic,48,28,4,1,3,0.0012175828261497233,0.5538373696119602,0.5538373696119602
Arabic,26,46,1,0,1,0.0012378796566224538,0.2970448289758393,0.2970448289758393
Arabic,38,36,5,1,1,0.0013304696492219734,0.2920407817276474,0.2920407817276474
Arabic,34,36,5,1,3,0.0013409564700778312,0.3626685604923712,0.3626685604923712
Arabic,25,49,4,1,2,0.0013467963222693587,0.45278506604843116,0.45278506604843116
Arabic,45,40,2,1,1,0.0014325534206409563,0.4086405797199638,0.4086405797199638
Arabic,49,43,3,0,3,0.0014815862590501043,0.3347350400184193,0.3347350400184193
Arabic,14,17,3,0,3,0.0014820103144848361,0.36928583844832763,0.36928583844832763
Arabic,23,37,3,1,1,0.0015861129265072932,0.4367526796018343,0.4367526796018343
Arabic,38,37,2,1,1,0.0016201453181694848,0.40749900886253726,0.40749900886253726
Arabic,33,14,2,1,1,0.0016367254095554587,0.5657078434358955,0.5657078434358955
Arabic,21,45,3,0,3,0.001698606305224885,0.24431313034826443,0.24431313034826443
Arabic,14,32,4,1,3,0.001739443699457829,0.6450056320794871,0.6450056320794871
Arabic,5,1,1,1,1,0.0018297691435641406,0.32053785541287966,0.32053785541287966
Arabic,15,25,6,1,6,0.0018310212242713983,0.4395660040345289,0.4395660040345289
Arabic,21,47,3,0,3,0.0019796386718980794,0.32388246959773503,0.32388246959773503
Arabic,37,11,7,1,7,0.0020770173339701406,0.40585487655026997,0.40585487655026997
Arabic,8,39,1,0,1,0.002127882753116678,0.33218022501583794,0.33218022501583794
Arabic,33,18,3,1,1,0.00231435587592888,0.4951562905851597,0.4951562905851597
Arabic,41,16,2,0,2,0.002425533287044337,0.2913744301357512,0.2913744301357512
Arabic,10,18,2,1,2,0.0024270785461355813,0.5112950967085865,0.5112950967085865
Arabic,21,38,5,1,3,0.002469253135505506,0.2455990525714794,0.2455990525714794
Arabic,39,3,2,1,2,0.002517901931289186,0.38316841598763196,0.38316841598763196
Arabic,50,27,1,0,1,0.0025201260002395377,0.34616441150949917,0.34616441150949917
Arabic,47,39,1,0,1,0.0026219009113046038,0.3274019671831151,0.3274019671831151
